iteration,Month,TimeIndex,subproblem_type,lp_relaxation_objective_SEK,mip_objective_SEK,theta_master_SEK,lp_violation_SEK,lp_mip_recourse_gap_SEK,positive_type_arcs,mip_positive_rows,dual_status,dual_termination,mip_status,mip_termination
1,January,1,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,365837.84439739893,365837.84439739893,0.0,7308,0,ok,optimal,ok,optimal
1,January,2,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,745471.9120144976,745471.9120144976,0.0,8424,0,ok,optimal,ok,optimal
1,January,3,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,905596.8410529426,905596.8410529426,0.0,8442,0,ok,optimal,ok,optimal
1,January,4,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,825792.0759517167,825792.0759517167,0.0,8208,0,ok,optimal,ok,optimal
1,January,5,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,534540.0478968828,534540.0478968828,0.0,7290,0,ok,optimal,ok,optimal
1,January,6,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,289727.7706292649,289727.7706292649,0.0,4950,0,ok,optimal,ok,optimal
1,January,7,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,129019.4416997068,129019.4416997068,0.0,3186,0,ok,optimal,ok,optimal
1,January,8,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,35292.17847059675,35292.17847059675,0.0,1134,0,ok,optimal,ok,optimal
1,January,9,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,13900.335259922424,13900.335259922424,0.0,648,0,ok,optimal,ok,optimal
1,January,10,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,23252.587783073584,23252.587783073584,0.0,702,0,ok,optimal,ok,optimal
1,January,11,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,66241.08793378099,66241.08793378099,0.0,2538,0,ok,optimal,ok,optimal
1,January,12,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,154113.33977102692,154113.33977102692,0.0,4140,0,ok,optimal,ok,optimal
1,January,13,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,406290.55711969285,406290.55711969285,0.0,6606,0,ok,optimal,ok,optimal
1,January,14,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,760812.9203278057,760812.9203278057,0.0,8280,0,ok,optimal,ok,optimal
1,January,15,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,1139174.3285397312,1139174.3285397312,0.0,9324,0,ok,optimal,ok,optimal
1,January,16,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,1909063.6757621355,1909063.6757621355,0.0,10278,0,ok,optimal,ok,optimal
1,January,17,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,2392064.2037853263,2392064.2037853263,0.0,10692,0,ok,optimal,ok,optimal
1,January,18,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,2219478.2056123796,2219478.2056123796,0.0,10854,0,ok,optimal,ok,optimal
1,January,19,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,1933396.4502990593,1933396.4502990593,0.0,10404,0,ok,optimal,ok,optimal
1,January,20,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,1638918.691149491,1638918.691149491,0.0,10368,0,ok,optimal,ok,optimal
1,January,21,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,1383190.1913534177,1383190.1913534177,0.0,9756,0,ok,optimal,ok,optimal
1,January,22,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,1261241.8588750963,1261241.8588750963,0.0,10206,0,ok,optimal,ok,optimal
1,January,23,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,1311752.8824154346,1311752.8824154346,0.0,9900,0,ok,optimal,ok,optimal
1,January,24,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,1322791.5161835982,1322791.5161835982,0.0,10026,0,ok,optimal,ok,optimal
1,January,25,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,1389522.0585928448,1389522.0585928448,0.0,10188,0,ok,optimal,ok,optimal
1,January,26,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,1437287.8854380313,1437287.8854380313,0.0,10350,0,ok,optimal,ok,optimal
1,January,27,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,1596214.30353081,1596214.30353081,0.0,9738,0,ok,optimal,ok,optimal
1,January,28,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,1649838.1744315384,1649838.1744315384,0.0,9396,0,ok,optimal,ok,optimal
1,January,29,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,1417544.2426787778,1417544.2426787778,0.0,9378,0,ok,optimal,ok,optimal
