Metric,Value
dataset,full
annual_profit_SEK,484646143.18816096
revenue_all_chargers_SEK,707210810.574118
grid_cost_SEK,200160081.74995708
redirection_distance_cost_SEK,0.0
redirection_price_compensation_SEK,0.0
redirection_total_cost_SEK,0.0
slack_penalty_SEK,0.0
capex_chargers_SEK,22404585.636
capex_PV_BESS_SEK,0.0
grid_direct_kWh,115273211.16803172
grid_to_battery_kWh,0.0
grid_total_kWh,115273211.16803172
pv_direct_kWh,0.0
pv_to_battery_kWh,0.0
pv_used_total_kWh,0.0
battery_discharge_kWh,0.0
energy_redirected_kWh,0.0
PV_panels_installed,0.0
battery_units_installed,0.0
max_abs_soc_gap_Jan0_Dec48_kWh,0.0
chargers_slow_installed,508.0
energy_slow_kWh,2042711.9282395325
capacity_upper_bound_slow_kWh,48950880.0
capacity_ratio_slow,0.041729830561565644
chargers_medium_installed,2335.0
energy_medium_kWh,80044700.17980586
capacity_upper_bound_medium_kWh,450001200.0
capacity_ratio_medium,0.17787663717298055
chargers_fast_installed,168.0
energy_fast_kWh,33185799.059987932
capacity_upper_bound_fast_kWh,73584000.0
capacity_ratio_fast,0.4509920507173833
