iteration,Month,TimeIndex,cut_type,rhs_at_current_SEK,theta_at_current_SEK,violation_SEK,nonzeros,positive_type_arcs,dual_termination,exactness,selection_rule
1,October,17,corepoint_lp_dual_upper_cut,0.0,2486504.966712671,2486504.966712671,1556,10692,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,January,17,corepoint_lp_dual_upper_cut,0.0,2392064.2037853263,2392064.2037853263,1555,10692,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,August,17,corepoint_lp_dual_upper_cut,0.0,2322652.5132443756,2322652.5132443756,1555,10692,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,October,18,corepoint_lp_dual_upper_cut,0.0,2310259.14074593,2310259.14074593,1599,10854,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,July,17,corepoint_lp_dual_upper_cut,0.0,2302163.8621525657,2302163.8621525657,1555,10692,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,January,18,corepoint_lp_dual_upper_cut,0.0,2219478.2056123796,2219478.2056123796,1599,10854,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,August,18,corepoint_lp_dual_upper_cut,0.0,2152756.4005232374,2152756.4005232374,1602,10854,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,July,18,corepoint_lp_dual_upper_cut,0.0,2133061.738514096,2133061.738514096,1600,10854,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,April,17,corepoint_lp_dual_upper_cut,0.0,2117062.9693516335,2117062.9693516335,1553,10692,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,October,19,corepoint_lp_dual_upper_cut,0.0,2039741.5605704996,2039741.5605704996,1537,10404,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,June,17,corepoint_lp_dual_upper_cut,0.0,1995075.763360455,1995075.763360455,1552,10692,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
